Sample ID	Collection date	Geological location name	Latitude/Longtitude	Days since blooming	Air temperature (˚C)	Humidity (%)	Rainfall (mm)	Sunlight (MJ/m^2)
omgseq_002739	2015-04-07 00:35:38	Tokyo, Setagaya, Japan	35.6584 N 139.6549 E	5	13.0	82.0	0.0	0.0
omgseq_002747	2015-04-07 00:46:35	Tokyo, Setagaya, Japan	35.6584 N 139.6549 E	5	13.0	82.0	0.0	0.0
omgseq_002755	2015-04-02 14:00:00	Kanagawa, Yokohama, Japan	35.3476 N 139.6421 E	not collected	15.8	45.0	0.0	1.0
omgseq_002763	2015-04-02 14:40:00	Kanagawa, Yokohama, Japan	35.3476 N 139.6421 E	3	15.8	45.0	0.0	1.0
omgseq_002771	2015-03-29 08:00:00	Tokyo, Kunitachi, Japan	35.6843 N 139.4177 E	2	12.4	not collected	0.0	1.0
omgseq_002780	2015-03-28 17:00:00	Tokyo, Kunitachi, Japan	35.6889 N 139.4471 E	1	19.2	not collected	0.0	1.0
omgseq_002798	2015-04-07 13:14:00	Kanagawa, Yokohama, Japan	35.4662 N 139.6227 E	8	11.2	87.0	0.0	0.0
omgseq_002801	2015-04-07 08:24:00	Kanagawa, Yokohama, Japan	35.4662 N 139.6227 E	8	10.4	96.0	0.0	0.0
omgseq_002810	2015-04-07 19:16:00	Kanagawa, Yokohama, Japan	35.4662 N 139.6227 E	8	9.7	88.0	0.0	0.0
omgseq_002828	2015-04-07 20:01:00	Kanagawa, Yokohama, Japan	35.4836 N 139.5745 E	8	9.0	92.0	0.0	0.0
omgseq_002836	2015-04-08 08:17:00	Kanagawa, Yokohama, Japan	35.4662 N 139.6227 E	9	3.6	94.0	3.5	0.0
omgseq_002844	2015-04-08 22:12:00	Kanagawa, Yokohama, Japan	35.4662 N 139.6227 E	9	4.4	86.0	0.0	0.0
omgseq_002852	2015-04-20 07:47:00	Kanagawa, Yokohama, Japan	35.4836 N 139.5745 E	4	17.2	91.0	0.0	0.0
omgseq_002861	2015-04-20 21:04:00	Kanagawa, Yokohama, Japan	35.4836 N 139.5745 E	4	20.4	95.0	1.5	0.0
omgseq_002879	2015-04-02 11:30:00	Tokyo, Setagaya, Japan	35.6366 N 139.6334 E	8	12.8	51.0	0.0	0.9
omgseq_002887	2015-04-02 11:05:00	Tokyo, Setagaya, Japan	35.6399 N 139.6314 E	8	12.8	51.0	0.0	0.9
omgseq_002895	2015-04-01 11:15:00	Tokyo, Setagaya, Japan	35.6399 N 139.6314 E	7	17.6	63.0	0.0	0.0
omgseq_002909	2015-04-02 11:30:00	Tokyo, Setagaya, Japan	35.6366 N 139.6334 E	8	12.8	51.0	0.0	0.9
omgseq_002950	2015-04-09 10:25:00	Kanagawa, Odawara, Japan	35.1691 N 139.1056 E	15	8.1	not collected	0.0	1.0
omgseq_002968	2015-04-09 10:30:00	Kanagawa, Odawara, Japan	35.1694 N 139.1055 E	15	8.1	not collected	0.0	1.0
omgseq_002976	2015-04-04 07:20:00	Tokyo, Shinagawa, Japan	36.0000 N 140.0000 E	12	12.9	58.0	0.0	0.0
omgseq_002984	2015-04-04 07:30:00	Tokyo, Shinagawa, Japan	35.0000 N 140.0000 E	12	12.9	58.0	0.0	0.0
omgseq_002992	2015-03-31 12:59:00	Tokyo, Musashino, Japan	35.7027 N 139.5764 E	3	not collected	not collected	not collected	not collected
omgseq_003000	2015-03-31 13:08:00	Tokyo, Musashino, Japan	35.7027 N 139.5764 E	3	not collected	not collected	not collected	not collected
